pbindaff,nha,mwt,PDB
2.22,25,390.218,1m0n
3.89,22,350.156,1m0q
6.10,20,273.196,1m2q
11.15,36,568.86,1mq6
4.08,15,208.226,1n2v
6.12,20,296.358,1nc1
5.23,19,259.306,1ndw
6.17,23,309.362,1ndy
8.11,37,499.572,1ndz
8.89,30,463.99,1nfy
5.66,33,495.286,1nhu
6.31,20,305.186,1nja
3.80,20,305.186,1nje
7.66,53,716.702,1nny
8.25,36,481.52,1nvq
5.92,27,424.186,1o0h
7.96,25,328.384,1o3f
6.66,25,337.398,1o3p
5.82,26,422.298,1ols
4.41,26,422.298,1olu
6.77,22,291.278,1om1
4.89,13,186.17,1p1q
3.62,7,103.106,1pb9
6.27,16,257.042,1pbq
5.80,42,604.602,1ppm
3.92,19,266.262,1pr5
8.70,23,328.366,1pxo
5.40,67,974.126,1pz5
7.19,24,324.37,1q7a
4.76,18,248.346,1q8t
9.52,35,474.498,1re8
5.19,24,361.216,1rnt
7.70,12,161.166,1s39
11.85,37,552.336,1sl3
3.90,59,829.878,1slg
9.21,31,413.484,1sqa
4.74,11,151.136,1sv3
6.31,17,239.234,1syh
7.30,35,478.556,1tmn
4.05,11,149.162,1toi
3.39,11,149.162,1toj
2.47,8,114.056,1tok
5.40,10,169.032,1trd
4.96,20,306.168,1tsy
7.35,21,309.34,1ttm
7.00,22,304.456,1tyr
7.80,51,805.334,1u1b
1.74,13,192.176,1u2y
4.60,36,530.482,1u33
1.44,11,150.238,1utp
5.97,13,192.176,1uwt
3.87,26,422.298,1v16
4.73,30,433.51,1v2o
7.80,22,335.216,1v48
5.60,10,136.122,1vfn
7.44,33,449.48,1vzq
11.06,22,338.168,1x1z
7.92,66,969.884,1xd1
6.00,22,341.326,1xgj
1.82,9,129.158,1y1m
11.70,20,293.402,1y6q
7.32,27,447.368,1ydt
3.22,16,247.166,1zc9
7.40,16,476.776,1zoe
6.15,26,397.38,1zs0
9.22,26,397.38,1zvx
7.73,25,355.856,2aou
7.04,17,269.13,2aov
9.29,37,517.628,2ayr
3.64,17,251.22,2azr
5.74,19,260.32,2b1v
8.70,39,531.504,2b7d
8.40,27,403.3,2baj
7.43,43,583.686,2bak
6.55,29,399.534,2bok
4.86,25,331.366,2brb
5.89,25,330.384,2brm
7.09,30,417.432,2bz6
6.43,57,911.342,2bzz
4.04,27,424.186,2c02
7.28,14,200.196,2ceq
9.22,22,304.34,2cer
8.02,22,304.34,2cet
7.28,29,384.43,2cgr
3.89,12,165.162,2ctc
5.02,32,439.396,2d0k
7.70,33,464.652,2d1o
6.92,27,397.454,2d3u
6.64,26,390.434,2d3z
9.89,33,452.44,2drc
7.40,65,906.096,2er9
13.00,16,243.31,2f01
8.18,38,547.666,2f80
6.24,20,274.346,2fai
7.59,41,561.706,2fdp
5.74,24,319.35,2flb
2.70,18,300.1,2fzc
8.49,18,323.968,2g5u
3.99,25,354.34,2g8r
9.52,45,658.862,2g94
4.94,19,302.118,2gss
5.70,16,251.114,2h3e
1.40,8,127.144,2hdq
12.10,45,637.742,2i0d
4.89,11,163.174,2j77
6.42,13,192.176,2j78
2.74,21,308.264,2qwb
4.85,20,290.274,2qwd
7.48,23,332.32,2qwe
3.90,19,276.384,2rkm
9.85,20,334.654,2std
6.51,28,414.514,2usn
5.82,39,608.446,3gss
2.00,11,151.136,3pce
5.40,10,137.11,3pch
7.22,11,154.102,3pcj
11.11,28,365.448,3std
9.30,48,684.886,4er2
2.16,11,183.032,4tim
3.72,10,147.2,4tln
10.17,36,517.506,4tmn
6.02,37,522.72,5er1
2.37,23,345.216,6rnt
8.64,21,413.148,6std
13.96,41,580.554,7cpa
9.15,32,462.384,8cpa
