pbindaff,nha,mwt,PDB
6.96,22,335.278,1c5c
4.14,46,648.346,1gny
7.44,36,476.396,1ciz
6.96,25,329.268,1gj8
6.70,25,387.068,1snc
6.08,20,257.178,1sri
6.64,10,156.054,1lcp
5.15,24,354.16,1qk3
11.11,28,346.296,3std
8.28,26,342.33,1c2d
5.40,19,246.228,1ghx
5.64,10,144.082,6abp
5.54,11,156.092,7abp
5.46,23,328.184,1anf
8.62,33,437.32,4dfr
4.50,9,116.122,3ptb
10.17,36,488.274,4tmn
5.90,22,287.23,3tmn
9.40,57,737.474,1fkf
9.70,65,837.544,1fkb
6.70,12,173.1,1gca
3.40,6,72.06,1l83
5.00,50,668.454,1pip
8.55,42,564.324,1ppl
5.80,42,568.314,1ppm
6.52,10,144.082,1abe
5.04,33,460.254,1mfa
6.25,35,446.316,1thl
6.80,34,483.268,3mbp
6.62,31,494.084,1afk
6.28,31,494.084,1afl
5.64,45,638.352,4mbp
8.70,52,659.476,1hfs
8.27,33,522.146,1clu
7.57,50,774.172,1qhc
11.80,17,282.186,1duv
4.94,18,239.164,1e2k
7.62,28,433.13,1fzq
1.91,9,121.094,1f2o
7.40,20,279.186,1f8c
8.40,68,896.656,1fzk
5.30,35,526.142,1h6h
5.93,26,347.188,1fv0
3.57,33,466.26,1gz9
5.44,24,407.994,1h0a
4.66,9,116.122,1h4w
5.85,20,282.298,1k4g
9.05,21,261.198,1kdk
6.10,15,213.586,1lgt
5.82,10,145.09,2xis
6.43,20,284.184,1fh9
5.26,25,318.288,1gj5
8.10,25,318.288,1gjc
4.94,20,314.054,3cla
6.85,10,144.082,1bap
6.66,36,479.348,1elc
6.00,43,597.358,1hew
8.40,43,554.418,1mtr
8.59,31,439.212,1akw
7.10,27,381.378,1b32
5.23,27,369.298,1b4z
8.30,39,508.378,1b6l
8.25,22,282.268,1c1u
8.77,43,573.47,1d4l
6.48,34,476.316,1f4g
5.64,7,118.142,1f57
10.55,19,259.206,1g2o
3.40,25,316.21,1ikt
5.64,19,246.228,1gi8
5.22,22,422.578,1gjd
5.82,11,156.092,1apb
3.90,59,793.59,1slg
3.85,18,233.158,1sre
4.51,19,248.228,1gi7
6.57,68,880.67,5er2
3.78,43,614.358,2rnt
3.27,34,442.296,4sga
2.85,35,459.304,5sga
7.60,30,423.234,7est
6.64,12,173.1,5abp
6.09,35,480.388,2gst
2.37,23,337.152,6rnt
9.00,36,484.328,1apv
8.00,35,467.32,1apw
6.55,33,437.32,1dhj
6.35,32,430.3,1ela
10.92,58,742.568,1hvi
10.96,58,742.568,1hvk
9.95,58,742.568,1hvl
6.16,37,496.438,1ppc
7.66,35,476.264,1ppk
5.30,19,245.168,1srg
2.93,8,101.104,1tng
3.37,9,120.104,1tnh
1.96,9,113.114,1tnj
1.49,10,125.124,1tnk
9.40,35,459.346,1apt
7.49,34,442.312,1apu
6.28,23,316.266,1atl
4.59,37,488.334,1bma
6.70,33,459.264,1eld
6.85,29,411.224,1ele
9.51,46,570.446,1hvr
4.82,10,141.084,1gdo
5.81,42,591.272,1lkl
5.49,10,134.164,1pot
11.30,43,549.394,1pro
2.06,12,167.094,1rdi
1.66,11,156.092,1rdj
1.84,15,211.13,1rdn
4.77,51,708.582,1str
9.00,31,439.212,1ag9
7.72,48,711.242,1hyx
10.57,54,724.642,1qbr
10.24,43,563.474,1qbu
9.47,42,532.402,1qbs
8.30,28,358.308,1tom
3.90,19,258.24,2rkm
5.92,42,580.548,1a4w
8.49,31,439.212,1akt
8.62,31,439.212,1azl
4.07,43,597.358,1at6
7.03,31,409.358,1b1h
7.82,26,349.308,1b6h
4.38,45,600.362,1bhf
7.42,62,786.618,1bwb
7.96,44,557.44,1hvh
10.82,50,676.602,1hxw
7.94,37,492.422,1mem
6.89,29,390.346,1b3f
7.36,16,230.206,1swg
7.74,27,421.352,1usn
8.40,21,282.192,2qwg
4.07,11,145.134,3mag
7.72,36,476.396,1caq
6.77,31,441.228,1bkj
3.22,43,555.368,1evh
8.33,30,378.286,1hwr
5.10,16,251.062,1m6p
5.39,28,360.308,1qbv
5.28,26,348.3,1b46
7.37,25,342.296,1b51
6.59,31,414.356,1b58
7.43,28,381.334,1b5j
5.96,27,361.318,1b9j
5.92,30,408.388,1qka
7.35,26,349.308,1qkb
6.48,12,173.1,1rpj
4.70,9,121.094,3kiv
8.64,21,398.028,6std
4.85,18,242.146,1c83
5.29,18,263.214,1c88
8.41,12,488.568,1e4h
7.64,10,328.768,1e5a
5.62,25,321.296,1ejn
6.00,30,432.428,1f0t
4.60,21,297.176,1f7b
7.37,28,485.956,1fao
9.54,22,317.254,1g52
6.77,41,543.38,1qb1
6.06,29,388.314,1qb6
7.44,37,463.4,1qb9
5.85,32,420.318,1qbn
7.74,34,429.37,1qbo
1.90,12,157.124,1f2p
3.74,9,116.122,1f5k
5.40,20,279.16,1f8b
7.70,68,907.712,1fzm
7.89,68,896.656,1fzo
8.14,47,627.464,1g35
5.74,17,227.18,1g3b
5.55,17,227.18,1g3d
5.38,17,227.18,1g3e
5.47,39,513.324,1g7f
4.19,27,415.114,1hi3
4.49,27,415.114,1hi4
4.04,27,416.122,1hi5
6.00,15,184.166,1hn2
7.72,45,582.37,1j4r
5.96,21,274.238,1gi9
7.96,28,363.298,1gj9
5.15,25,396.072,1jcx
8.45,47,620.486,1jq9
5.11,18,253.27,1k4h
5.80,31,381.298,1kpm
6.85,33,524.11,1l8b
7.52,39,495.39,1lf2
6.52,44,575.452,1m21
4.22,26,351.738,1gj4
4.57,22,313.168,5a3h
5.24,18,253.166,1fh7
8.64,21,298.254,1g45
5.00,60,858.41,1f8a
8.89,22,317.254,1g46
8.70,25,374.254,1g4j
7.00,25,321.208,1flr
1.64,12,182.14,1a7t
5.82,52,726.614,1vwn
3.30,6,81.048,1d7j
7.46,27,380.158,1yej
7.92,49,643.482,1b6j
8.74,49,633.476,1b6k
8.40,43,554.418,1b6m
8.40,31,399.31,1b6n
9.22,32,419.326,1b6o
9.22,51,651.506,1d4k
6.70,14,190.168,1f3e
4.67,28,450.038,1f3f
5.89,18,238.192,1e1x
6.33,48,746.198,1ex8
4.35,19,248.228,1ghv
8.10,19,248.228,1ghy
4.00,8,107.086,1lgw
4.25,8,124.518,1li3
8.41,22,317.254,1g48
8.82,25,374.254,1g54
8.66,22,317.254,1i9n
8.38,31,408.334,1k21
4.31,23,337.152,1rgk
7.20,11,150.122,1hsl
4.10,38,538.296,1rnb
7.16,47,649.586,1epp
4.30,16,212.162,3tpi
5.18,24,354.16,1rnt
7.47,35,450.332,1tmn
7.40,12,173.1,2gbp
2.95,10,144.082,8xia
5.42,11,156.092,1abf
8.70,8,149.106,1bcd
6.72,35,480.388,3gst
9.30,31,439.212,3fx2
5.40,10,167.016,7tim
7.26,33,437.32,1dhi
6.96,46,616.39,1ent
8.19,38,532.488,1epq
7.05,24,295.238,1erb
5.92,30,405.37,1pph
4.00,11,137.134,1tni
1.88,10,125.124,1tnl
9.89,33,437.32,2drc
5.10,23,328.184,1mdq
7.37,22,316.278,1cnx
9.22,35,474.382,1hpv
7.22,9,121.094,1lan
8.24,13,219.244,1ydb
3.86,23,337.152,2ak3
8.61,45,570.442,1hsh
7.28,23,328.128,1kel
6.68,24,407.994,1mai
7.52,33,424.322,1mmq
2.24,12,173.1,1rdm
6.17,60,834.7,1sle
8.70,13,219.244,2h4n
3.13,15,211.13,1ax0
4.54,27,366.342,1b2h
5.46,26,354.332,1b4h
6.01,25,342.322,1b5h
7.60,54,724.642,1bwa
7.70,42,532.402,1mes
9.40,42,532.402,1met
6.10,42,532.402,1meu
5.67,24,324.238,2qwf
4.74,9,116.122,1ce5
2.80,8,101.104,2bza
8.82,31,441.228,1czk
9.00,31,441.228,1czr
3.60,6,116.17,1d7i
2.74,15,221.178,1dg9
4.21,23,338.134,1qk4
7.05,27,369.324,1b5i
6.92,16,230.206,1swr
7.46,23,332.118,1yei
7.67,45,574.432,2bpv
7.40,50,640.482,2bpy
9.89,27,372.286,966c
3.49,9,116.122,1c5o
4.36,19,241.194,1dy4
7.16,34,436.374,1f0u
2.96,18,254.2,1f4e
6.82,21,289.18,1fhd
8.80,63,840.586,1fkn
3.70,40,583.352,1fwu
8.10,68,907.712,1fzj
5.70,15,238.044,1g98
5.13,17,225.128,1gcz
6.62,65,854.61,1jd5
5.10,45,639.36,1ez9
6.35,25,318.288,1gjb
6.28,67,948.52,1gui
7.00,47,651.322,1is0
7.70,50,646.494,1izh
6.70,16,252.054,1koj
7.74,39,495.39,1lee
7.19,21,316.104,1los
6.82,14,176.12,1lrh
5.54,59,824.68,1vwf
9.96,38,507.35,1fjs
8.41,23,336.254,1i9p
8.40,31,405.326,1k22
9.33,22,305.646,1inc
6.30,10,141.11,1wdn
9.04,22,317.254,1g53
9.64,26,353.314,1if8
4.59,19,310.718,1l2s
8.15,33,414.29,1fkh
8.00,20,289.09,1gaf
5.00,48,670.578,1sts
3.29,23,328.184,1ax1
3.99,26,366.214,1ax2
3.20,12,173.1,1axz
4.62,63,846.612,1sm3
10.49,28,358.276,5std
4.85,16,330.008,1ecv
2.39,21,297.176,1f73
6.89,17,236.158,1fh8
4.92,18,233.194,1e1v
7.96,45,597.464,1g2k
5.09,33,421.34,1m48
10.00,48,684.436,1gar
2.30,11,145.088,3pcg
8.25,20,279.254,1g4o
8.00,12,173.1,9abp
11.10,42,571.416,1d4y
3.62,10,133.078,3pcc
7.70,55,867.168,4tmk
7.47,57,892.19,5tmp
7.64,25,326.33,1c1v
10.52,26,353.314,1if7
6.62,60,751.6,4er1
7.22,65,863.65,2er6
7.10,57,739.562,3er3
9.30,48,629.446,4er2
11.52,33,453.226,6cpa
4.90,45,583.41,1eed
7.96,46,610.418,1epo
13.96,41,549.306,7cpa
4.00,17,229.17,3cpa
6.02,37,480.384,5er1
6.72,21,257.208,1rbp
7.70,45,593.416,5hvp
5.44,18,225.168,2ifb
5.47,20,314.054,4cla
7.44,32,427.3,1drf
9.00,59,757.576,1hiv
4.43,24,354.16,1rgl
6.35,15,196.11,1cbx
8.00,33,414.29,1fkg
11.40,57,725.56,1hvj
3.70,15,196.11,1wht
9.15,32,441.216,8cpa
9.68,55,722.624,1htg
5.31,32,449.252,1mfe
2.00,13,184.102,5cna
6.03,14,231.254,1bzm
7.72,26,371.316,1cnw
6.82,10,144.082,1drk
10.34,48,629.446,1pso
4.40,24,407.994,1btn
9.30,46,630.552,1hpx
9.42,45,570.442,1hsg
0.60,13,219.244,1zsb
7.72,41,542.426,1ajv
7.91,40,506.366,1ajx
3.90,8,106.112,1avn
9.55,40,506.418,1dmp
4.92,8,116.098,1h4n
8.49,34,452.366,7upj
6.70,41,560.294,1a09
4.30,26,355.22,1a30
6.21,30,397.348,1b3h
8.02,27,361.318,1b7h
6.60,31,495.092,1b38
5.00,16,202.192,1bcu
7.52,20,272.158,1bm7
9.30,54,724.642,1bv7
8.96,54,724.642,1bv9
7.12,25,358.366,1b05
6.70,27,361.318,1b3g
5.89,23,313.278,1b3l
2.74,21,296.168,2qwb
4.85,20,279.186,2qwd
7.48,23,321.232,2qwe
7.86,60,794.638,1a94
3.84,9,120.096,1bky
4.07,9,120.096,3mct
7.85,26,353.288,1b8y
8.10,58,744.574,1ody
9.40,27,362.318,1pme
7.32,26,355.304,1qf1
8.00,31,553.228,1qin
6.38,67,926.616,1qjb
12.00,16,230.206,1swk
11.00,16,230.206,1swp
6.87,55,867.168,3tmk
8.52,48,622.474,1b6p
5.96,37,502.412,1d6w
9.52,31,441.228,1c7f
6.17,28,356.256,1d6v
4.12,22,299.19,1e55
5.70,9,150.99,1egh
4.62,29,409.268,1f4f
4.34,28,354.256,1e3v
1.28,12,172.092,1f9g
6.41,10,132.106,1i80
10.00,40,541.43,1g37
7.41,10,167.016,1ik4
6.82,42,568.458,1k1n
5.22,27,415.114,1h1h
8.22,28,383.334,1h1s
8.39,56,742.434,1it6
6.47,18,251.15,1j01
5.22,34,471.81,1j17
6.00,40,531.392,1jq8
8.70,53,751.356,1jyq
6.92,49,624.462,1k6v
4.04,7,89.068,1li2
2.96,22,339.068,1m0q
6.52,12,173.168,1alw
7.05,25,326.33,1xuf
9.09,38,557.318,1d3d
9.44,21,298.254,1g1d
4.31,9,136.13,1ajq
5.40,10,133.078,3pch
7.85,23,338.14,1lbf
7.85,12,168.164,1laf
6.30,11,150.122,1lag
7.52,9,126.118,1lah
2.00,11,145.088,3pce
5.92,29,390.326,1qf2
6.30,27,341.3,1d4p
10.82,9,151.016,1ebg
4.31,16,212.162,2tpi
7.77,51,702.624,5apr
8.82,17,289.35,1cim
8.73,18,300.352,1cin
7.15,33,443.318,1elb
5.31,33,460.254,1mfd
6.92,66,922.752,1smf
5.31,42,587.328,1mfc
6.55,13,219.244,1yda
7.07,13,219.244,1ydd
9.00,25,326.242,1mnc
4.96,9,121.094,1cea
6.00,11,145.114,1ceb
3.87,20,289.09,1aj7
6.03,17,238.226,1okl
10.62,62,786.618,1qbt
5.30,19,261.18,1a69
6.92,31,495.092,1b39
3.70,15,211.13,1bcj
8.70,40,526.452,1ohr
4.32,21,314.104,4rsk
9.34,21,335.374,1bn1
9.31,22,351.374,1bn4
6.77,68,944.612,1bzh
1.82,10,146.056,1d5r
7.97,28,385.66,3amv
4.40,39,504.414,7kme
10.37,36,557.3,1c4u
10.80,39,497.4,1c4v
4.20,18,263.188,1c87
7.57,16,246.048,1d09
7.39,39,507.428,1d3p
7.66,31,437.424,1f0r
7.74,29,412.396,1f0s
2.35,23,328.184,1qi0
9.89,21,281.666,1e66
5.28,15,230.652,1f5l
7.27,24,296.22,1fdq
9.00,41,518.376,1fm9
6.70,19,257.19,1hp0
5.37,18,228.202,1gpk
4.92,18,233.194,1h1p
9.40,33,425.33,1ksn
9.52,66,876.59,1m4h
7.22,11,151.078,3pcj
6.70,11,151.078,3pck
4.85,52,694.43,1qji
4.92,33,447.27,1jqy
5.60,10,134.106,1vfn
6.05,11,145.088,3pcf
9.80,24,379.384,1bnt
9.70,22,371.434,1bnu
10.33,20,327.076,4std
2.70,7,92.05,1ylv
9.10,34,430.368,1h22
8.35,36,454.388,1h23
6.59,50,646.494,1izi
9.52,21,261.198,1l7s
2.40,10,133.078,3pcb
7.40,65,848.64,2er9
3.21,10,165.016,6tim
3.30,23,337.152,8gpb
3.80,11,180.008,5enl
3.00,9,150.99,6enl
8.22,16,239.102,9aat
1.82,9,116.122,1bra
7.00,31,398.25,1fki
5.52,16,217.108,2cht
8.09,41,542.478,1htf
6.24,30,397.332,1tmt
7.27,29,367.294,2cgr
7.41,35,480.424,1etr
4.52,16,220.142,1ctt
8.05,41,527.4,1hih
5.01,55,772.464,1ppi
5.27,37,470.326,1qca
4.96,20,297.096,1tsy
5.55,33,449.276,1jlx
5.52,20,276.256,1ydr
5.92,18,253.244,1yds
6.40,34,436.306,1a07
5.62,41,565.286,1a08
6.40,39,531.276,1a1b
6.00,38,519.266,1a1e
5.70,6,82.108,1a99
4.05,71,918.616,1awi
6.51,28,399.394,2usn
8.64,19,259.19,1fmo
4.01,11,145.134,1b42
9.89,23,362.376,1bn3
4.30,11,152.086,1byt
6.52,37,572.124,1ct8
7.38,35,468.392,1qf0
7.28,30,397.348,1b40
12.00,16,230.206,1swn
8.70,18,218.18,2pcp
3.60,15,221.178,1d1p
9.05,34,436.374,1ezq
7.15,45,604.472,1fch
4.51,21,285.2,1e2n
8.22,20,257.204,1efy
3.72,40,583.352,1fwv
6.60,43,565.354,1g7g
2.89,11,180.008,1iih
6.58,36,485.41,1k1i
7.55,37,497.42,1k1j
7.40,36,483.42,1k1m
7.48,45,570.442,1k6c
7.36,48,612.452,1k6p
5.52,10,163,1kc7
2.22,25,375.098,1m0n
3.40,31,495.092,1m83
10.05,24,407.994,1n4k
6.66,16,226.216,1cps
4.32,9,121.094,2pk4
10.30,58,742.568,1hvs
4.48,21,286.208,1jaq
9.89,23,366.392,1a42
9.08,19,331.414,1bnw
4.66,20,293.09,1bzj
6.05,11,152.086,1eoc
7.62,46,582.452,1k6t
4.66,10,164.1,1m1b
6.64,35,457.382,1sln
5.16,26,371.326,1jqd
3.72,10,137.12,4tln
6.37,23,307.22,5tln
7.56,37,515.278,1tlp
6.11,54,719.596,4hvp
7.40,32,428.308,1dhf
1.54,12,174.108,4xia
8.55,55,723.462,1hos
2.28,10,144.082,2xim
8.22,37,496.438,1ets
9.22,47,596.452,1hps
7.74,39,496.382,1sbg
6.08,13,185.068,1tet
6.10,26,406.186,1tkb
7.85,33,455.386,1cny
11.92,17,237.15,1ctu
7.00,35,470.428,1fpc
6.37,42,541.426,1hbv
7.28,41,527.4,1hii
4.82,24,376.066,1dud
6.40,14,300.05,1igb
6.07,32,408.296,1mmp
5.40,33,438.402,1mmr
3.80,20,296.114,1nje
6.57,53,738.65,1sld
6.95,39,496.382,1tcx
3.10,17,236.142,1af2
7.08,16,251.062,1fsa
10.55,21,345.024,1rbo
7.32,27,429.224,1ydt
4.52,16,215.186,2mas
7.12,23,289.208,5upj
6.92,42,557.464,1a9m
5.92,44,582.378,1aj6
6.84,31,447.446,1bhx
3.22,23,304.232,1br6
8.10,35,443.344,1stc
8.80,28,385.66,2amv
2.91,15,234.054,2pri
5.82,39,586.27,11gs
7.57,23,322.138,1a0q
6.70,18,261.098,1a50
10.00,23,362.376,1bnn
7.12,26,354.306,1b52
4.60,9,129.076,1upf
6.88,29,370.318,1xka
9.11,33,450.372,1d9i
4.70,18,263.188,1c86
5.59,20,274.162,1f4x
7.74,38,472.392,1qiw
6.40,22,282.18,1i7z
4.32,56,793.436,1gu3
8.92,49,664.86,1kzn
2.23,12,162.096,1ajp
5.28,20,314.054,1cla
6.32,22,277.198,6upj
2.50,12,162.096,1ai4
4.92,29,416.184,1bzc
5.00,19,251.148,1c84
6.49,20,287.1,1dl7
6.48,19,239.204,1gpn
5.82,30,450.12,1kav
3.72,13,174.09,1ai5
2.63,13,174.09,1ajn
2.16,11,180.008,4tim
4.70,16,251.062,1gpy
9.62,61,803.588,7hvp
6.74,19,257.19,1add
12.00,44,617.38,1agm
6.70,33,443.306,1bll
8.40,44,644.284,1adb
4.96,28,433.13,1dar
5.05,18,243.164,1fkw
2.22,19,260.172,1fkx
5.92,22,307.29,1jao
6.02,39,496.382,1tcw
8.64,20,300.322,1okn
4.35,19,260.172,1uio
5.70,27,383.336,2adm
7.05,46,610.418,2jxr
6.40,38,519.266,1a1c
8.00,31,408.256,1a4k
5.40,20,297.096,1bp0
5.52,19,236.17,1lox
3.60,9,126.118,3jdw
3.66,12,162.096,3pcn
7.40,28,485.956,1b55
7.70,60,794.638,1bai
9.49,22,354.382,1bnq
8.77,25,390.412,1bnv
8.81,37,493.362,1ork
8.30,20,276.128,1qbq
3.68,56,747.502,1qsc
9.77,28,407.736,456c
11.05,22,331.112,1dqx
4.29,18,239.164,1e2l
5.22,32,512.1,1e96
7.43,29,366.296,1fpu
8.40,62,784.608,1fq5
4.48,26,371.326,1qan
1.36,26,408.186,1qpb
6.40,25,396.072,1g7v
4.49,9,116.122,1j14
8.35,37,476.388,1kts
5.92,27,361.25,1kyv
2.31,24,363.088,1m0o
3.52,13,192.176,1m5j
7.68,57,768.562,1bjr
3.33,32,512.1,1jlr
4.94,13,174.132,4ts1
2.60,10,145.09,5xia
7.57,16,246.048,8atc
4.82,9,150.99,2ypi
6.70,47,609.466,4apr
7.77,48,629.446,6apr
3.90,27,415.114,9icd
5.29,13,185.068,5icd
3.02,13,185.068,8icd
4.82,23,337.152,1fbp
10.00,37,480.322,1igj
7.52,59,756.568,1ivp
5.40,10,167.016,1trd
9.00,61,813.61,8hvp
1.48,12,189.17,1xli
8.40,41,538.404,1aaq
5.89,30,405.37,1ett
11.42,48,629.446,1lyb
8.08,41,538.404,1siv
7.40,10,144.082,1drj
5.70,17,267.062,1pgp
3.72,13,185.068,1grp
6.31,20,296.114,1nja
5.55,20,296.114,1njc
5.57,20,297.096,1njd
9.05,65,837.544,1pbk
4.41,18,277.692,2csn
4.09,7,89.068,1ai7
9.22,36,478.386,1hpo
7.64,27,365.324,1uvt
6.60,18,228.202,1vot
6.86,37,469.354,3aid
6.96,38,484.372,1bdq
5.22,24,336.12,1bq4
2.70,18,248.188,1br5
5.77,20,297.096,1jmf
6.07,20,297.096,1jmg
6.06,20,297.096,1jmi
6.15,30,425.156,1tsl
8.57,25,349.646,1bgq
5.00,27,406.146,1byk
9.00,42,571.416,1d4s
5.92,21,287.248,2ans
7.34,38,486.382,2fgi
9.51,45,570.442,1c6y
10.30,48,608.462,1c70
11.06,22,331.112,1eix
4.57,15,204.142,1e2p
6.60,35,459.284,1jzs
6.90,33,445.416,1k1l
7.85,34,465.39,1jwt
2.55,31,491.102,1kf0
5.94,21,289.656,1kv1
