pbindaff,nha,mwt,PDB
3.22,23,311.288,1br6
3.22,13,192.176,1e6s
3.22,6,126.074,1ew9
3.22,44,646.612,1k1y
3.22,9,134.13,2ri9
3.22,14,214.616,2uy3
3.23,15,238.304,1px4
3.24,11,164.182,3qfz
3.25,27,424.186,3ta1
3.25,9,121.162,1v2j
3.26,25,354.346,3t1l
3.26,11,184.046,5yas
3.27,25,371.428,3ioe
3.28,23,345.738,3d52
3.28,27,395.304,3tfu
3.30,15,239.694,3n1v
3.30,18,264.73,3hcm
3.30,13,212.092,1phw
3.30,10,169.032,1tpw
3.30,13,207.296,2vw2
3.30,37,715.07,3aaq
3.31,23,305.35,1pzp
3.32,9,237.984,2wk6
3.32,22,334.204,1pzo
3.33,32,519.156,1jlr
3.33,14,231.1,2pnc
3.34,13,178.264,3f33
3.34,39,570.558,2xoi
3.35,12,165.104,3c2o
3.36,18,271.42,2vc7
3.37,15,221.21,3n35
3.37,9,126.152,1tnh
3.37,21,296.346,3d8z
3.37,9,121.162,1v2u
3.38,22,348.14,2fzg
3.39,11,149.162,1toj
3.40,6,78.108,1l83
3.40,31,503.156,1m83
3.40,6,78.108,220l
3.40,6,78.108,223l
3.40,25,352.498,1ikt
3.40,47,665.72,3jzh
3.40,31,502.174,1bxr
3.40,14,228.092,2vvp
3.40,22,310.372,3d8y
3.40,20,290.274,1f8d
3.40,14,216.282,1jt1
3.40,11,161.158,1uz4
3.41,9,153.006,2v2c
3.42,12,197.084,2w08
3.42,19,283.324,3iob
3.42,22,334.194,2qtn
3.42,20,290.248,2sim
3.43,19,267.254,3axz
3.43,40,586.558,2xog
3.45,31,445.488,3nik
3.46,16,258.144,1moq
3.46,15,238.304,3muz
3.47,31,503.156,3ta0
3.48,22,322.29,2p3i
3.48,40,610.64,3gx0
3.49,8,108.16,1utn
3.49,23,342.296,1gzc
3.49,9,121.162,1c5o
3.51,33,488.436,1gz9
3.51,43,627.598,2r0h
3.52,26,384.43,3lcu
3.52,9,153.006,2j27
3.52,20,290.248,2vw1
3.52,12,170.18,3mfw
3.54,31,503.156,1vjd
3.54,62,878.036,3obq
3.55,21,327.152,2cle
3.55,30,433.51,1v2r
3.55,20,290.248,2qwc
3.56,24,383.164,2hrm
3.57,19,257.322,1h46
3.57,10,146.124,3ff3
3.58,31,503.156,1vjc
3.58,9,134.156,3dx1
3.59,10,135.14,1nli
3.59,23,342.296,2nn8
3.59,23,345.216,2gsu
3.60,32,470.488,2qpu
3.60,35,504.444,3m3o
3.60,6,124.234,1d7i
3.60,13,172.194,2xdk
3.60,33,484.456,3afk
3.60,58,826.026,2wp1
3.60,25,391.142,2fzk
3.60,13,189.126,3b3x
3.60,10,143.226,3g0i
3.60,9,133.174,3jdw
3.61,21,283.258,3sk2
3.61,44,646.612,3jzj
3.62,7,103.106,1pb9
3.64,13,181.138,1gyy
3.64,17,251.22,2azr
3.64,7,122.98,2rk8
3.66,27,424.186,2qv7
3.66,16,220.326,3buh
3.66,24,357.288,3oy8
3.68,18,268.296,3isj
3.68,27,405.512,3ioc
3.68,12,277.032,1c3x
3.69,22,328.208,3clp
3.69,19,267.254,2a8g
3.69,21,298.32,3d7b
3.70,15,221.21,1bcj
3.70,17,252.72,3l59
3.70,31,503.156,1gz3
3.70,31,503.156,1gz4
3.70,9,153.006,1pdz
3.70,15,206.19,1wht
3.70,27,406.918,2bvr
3.70,10,133.156,2fx6
3.71,23,345.216,2vfk
3.71,10,167.032,3fj7
3.71,18,243.232,3g32
3.72,13,180.138,1ai5
3.72,13,189.1,1grp
3.72,23,342.296,3f5l
3.72,36,566.278,2am4
3.72,10,147.2,4tln
3.73,11,183.032,3fjg
3.74,33,459.492,2wq5
3.74,9,121.162,1f5k
3.75,51,734.924,2iyf
3.75,26,364.36,2pyi
3.75,22,314.32,3d6p
3.76,22,312.346,3d6q
3.76,13,189.236,2x09
3.77,17,296.12,3ao2
3.77,23,342.296,2y9g
3.77,32,442.452,1kui
3.78,12,171.252,3nq3
3.79,10,168.04,2clk
3.80,6,81.116,1li6
3.80,20,305.186,1nje
3.80,31,428.426,1kug
3.80,14,279.064,2hb1
3.81,28,383.398,2hu6
3.81,14,190.158,3ai8
3.82,32,491.534,1hn4
3.82,22,307.306,3g2h
3.83,31,503.156,1r0x
3.84,8,108.16,1utj
3.84,28,441.194,3lzz
3.84,9,121.162,1j16
3.85,12,178.14,3mv0
3.85,20,290.248,1n1t
3.85,14,200.196,2wzs
3.86,26,455.266,3lbz
3.87,26,422.298,1v16
3.87,20,301.186,1aj7
3.87,26,357.362,3g2l
3.89,66,936.954,3obx
3.89,22,350.156,1m0q
3.89,12,165.162,2ctc
3.89,39,636.532,3iae
3.90,8,112.16,1avn
3.90,59,829.878,1slg
3.90,27,424.186,2vhj
3.90,18,239.332,2vuk
3.90,21,298.336,2wor
3.90,21,298.336,2wos
3.90,15,233.24,2gvv
3.90,13,194.182,2qw1
3.90,37,524.518,2xpc
3.91,20,294.798,3l5b
3.91,32,443.502,1kuk
3.92,19,266.262,1pr5
3.93,20,283.254,2a5b
3.93,31,503.156,2cbz
3.93,57,907.022,1h5v
3.94,26,422.298,1v1m
3.94,23,342.296,1z3t
3.94,15,220.286,2v3d
3.95,39,640.564,3fsj
3.95,64,901.016,3kze
3.96,24,372.392,1x9d
3.96,36,505.696,3gt9
3.96,22,336.194,1mrs
3.96,10,133.156,2fpz
3.98,26,422.298,1v11
3.98,10,166.134,3b3c
3.99,25,355.348,2g8r
4.00,31,501.182,3a1c
4.00,8,111.118,1lgw
4.00,11,153.11,2buv
4.00,10,146.208,2rin
4.00,18,245.28,2whp
4.00,20,295.262,3ijh
4.00,11,150.238,1tni
4.00,31,519.226,1wc1
4.00,25,375.688,2ot1
4.00,46,712.742,1e5j
4.00,10,143.226,1nu3
4.00,10,145.074,2qrl
4.00,13,202.198,3m8t
4.01,39,622.42,3fzn
4.01,30,433.51,1v2w
4.01,9,121.162,1c5z
4.02,16,232.196,2wvz
4.03,10,143.2,3nq9
4.03,16,258.118,3bxh
4.03,24,340.288,2qrm
4.03,23,345.216,2q8m
4.04,7,94.108,1li2
4.04,27,424.186,1hi5
4.04,27,424.186,2c02
4.05,11,149.162,1toi
4.05,31,503.156,3qx9
4.05,20,306.328,1r4w
4.05,11,154.102,3n8k
4.05,13,186.202,1tuf
4.05,6,88.02,2rk7
4.05,10,167.058,3fjz
4.06,35,504.444,3m3c
4.06,21,329.266,2clh
4.06,25,363.344,8a3h
4.07,11,178.076,1hyo
4.07,29,400.4,2v2v
4.08,8,138.106,2rke
4.08,14,206.38,3kwa
4.09,63,904.094,2v88
4.09,7,94.108,1ai7
4.09,20,283.276,3g2n
4.09,21,322.168,1o0n
4.10,20,283.254,1odj
4.10,19,279.366,3gk1
4.10,30,450.514,3iod
4.10,12,178.244,1c5t
4.10,37,552.076,2bvs
4.11,23,346.198,1p19
4.11,23,342.296,1z3v
4.11,23,358.366,3oyw
4.11,22,312.346,3d6o
4.12,27,424.186,3a1d
4.12,28,378.348,3ivc
4.12,8,117.148,3mam
4.12,17,240.284,3mkn
4.13,30,433.51,1v2q
4.14,27,424.186,3t4n
4.15,31,503.156,2vt3
4.15,20,306.328,3c8e
4.15,10,147.2,3a9i
4.15,14,216.282,1m2x
4.15,28,408.296,1q91
4.15,17,239.244,2toh
4.15,13,192.176,3d51
4.15,30,414.426,2v2q
4.16,21,318.464,3d3x
4.17,9,121.162,1v2s
4.18,18,286.764,3q2j
4.18,10,167.058,2qfu
4.19,25,342.438,3cr5
4.19,27,423.178,1hi3
4.19,9,131.174,3b3w
4.20,49,715.582,2r2b
4.20,21,322.168,3djp
4.20,12,178.244,1c5y
4.20,18,269.236,1c87
4.20,19,253.284,1ghw
4.21,23,346.198,1qk4
4.21,40,635.27,1yon
4.21,19,267.254,1odi
4.22,23,331.276,1pzi
4.22,23,351.454,3kyq
4.22,23,345.216,1ua4
4.22,9,153.006,1kv5
4.22,12,177.2,1t5f
4.23,28,391.552,3zqe
4.23,13,190.218,2jkp
4.23,11,164.182,2jke
4.24,10,136.128,3h78
4.24,14,229.084,2bes
4.25,8,128.55,1li3
4.26,10,153.18,3lk1
4.26,23,345.216,3tdh
4.26,23,345.216,2qrk
4.27,17,232.304,3ijg
4.27,13,212.092,1m5w
4.28,13,193.132,2vzr
4.28,19,265.318,3jrs
4.28,45,666.576,3f5j
4.28,36,505.696,3gta
4.29,25,347.374,2wuf
4.29,18,252.268,1e2l
4.29,9,121.162,1v2l
4.30,24,361.216,1det
4.30,22,363.212,2cli
4.30,41,589.834,2q7y
4.30,29,413.426,3ivg
4.30,68,962.99,3obu
4.30,9,153.006,1amk
4.30,10,166.116,3moe
4.31,16,230.306,2tpi
4.31,9,141.17,1ajq
4.32,21,322.168,4rsk
4.32,20,290.4,2ha6
4.32,19,267.254,2qtt
4.33,26,422.298,1olx
4.34,28,391.552,1e3v
4.34,10,162.278,2ha5
4.34,23,345.216,1z6s
4.35,34,492.494,3feg
4.35,19,254.276,1ghv
4.35,23,346.198,1yfz
4.36,11,155.162,2ez7
4.36,12,173.142,1we2
4.36,19,258.33,1dy4
4.37,13,194.182,2jdy
4.37,20,281.214,1td7
4.37,27,399.464,2zif
4.38,11,170.25,3b24
4.38,45,632.618,1bhf
4.38,10,147.148,3guz
4.39,10,138.186,2hjb
4.39,21,322.168,3djo
4.39,54,772.012,2avq
4.40,49,752.394,2i2e
7.40,32,520.164,2xtn
4.40,35,504.642,3jzg
4.40,19,253.284,1p57
4.40,11,164.182,2pwd
4.41,34,487.498,3iqi
4.41,16,226.3,3rsx
4.41,26,422.298,1olu
4.41,25,333.288,1no6
4.41,18,286.764,2csn
4.42,32,461.504,3dri
4.42,18,277.166,1tjp
4.43,8,140.056,3kqr
4.43,35,504.444,3m3e
4.43,28,464.108,2we3
4.43,24,356.322,2wyf
4.43,21,298.336,3pxf
4.43,21,298.336,3pxq
4.44,26,368.386,3pd3
4.44,28,441.194,3okc
4.44,37,564.336,2amt
4.46,70,1004.27,2v86
4.46,29,479.126,1wvc
4.47,77,1105.38,2v83
4.47,19,254.308,2r2w
4.47,37,507.652,3hl5
4.48,33,458.462,2ogy
4.48,23,324.334,3pd4
4.48,21,302.336,1jaq
4.48,26,384.43,1qan
4.48,7,122.98,3t01
4.49,25,401.138,1o7o
4.49,66,939.262,3f9y
4.49,16,232.704,3kmy
4.49,9,121.162,1j14
4.49,27,423.178,1hi4
4.49,20,308.81,3hl8
4.50,14,191.266,3n7h
4.50,17,277.1,3sw8
4.50,12,173.086,2eg8
4.51,15,221.184,2r1y
4.51,19,254.276,1gi7
4.51,18,250.262,3aas
4.52,7,104.172,3r6u
4.52,15,204.226,2a4m
4.52,9,122.16,2ra6
4.52,68,984.304,3bzf
4.52,9,121.162,3gy7
4.52,16,230.222,1ctt
4.52,12,173.142,1gu1
4.52,55,886.32,1mrn
4.52,16,258.118,1z4n
4.52,16,258.118,1z4o
4.52,42,625.652,2wm0
4.54,36,557.308,1szd
4.54,27,424.186,1amw
4.54,27,391.542,1b2h
4.54,12,180.156,1oko
4.54,9,153.006,1lyx
4.54,31,503.156,2w5i
4.54,22,338.168,2zz1
4.55,66,914.064,1utc
4.55,31,503.156,3b2q
4.55,15,216.306,3p8p
4.55,7,104.172,3ppq
4.55,21,321.186,3djv
4.57,17,242.232,1w2g
4.57,19,274.29,3n8n
4.59,29,408.428,3iqh
4.59,14,210.292,1fj4
4.59,30,399.49,3f3t
4.59,42,630.434,2ihj
4.59,37,521.598,1bma
4.59,19,316.766,1l2s
4.59,15,217.246,2jiw
4.59,23,344.69,3hp9
4.60,39,545.6,3iqg
4.60,44,663.436,2fsv
4.60,10,146.124,2pyy
4.60,16,232.306,2vba
4.60,14,210.292,2vb8
4.60,39,622.42,3d7k
4.60,22,302.23,3r82
4.60,15,234.172,1pa9
4.60,13,198.158,1tx7
4.60,36,530.482,1u33
4.60,9,130.084,1upf
4.60,25,399.164,2v54
4.60,28,422.458,2wlz
4.60,18,254.252,2x0y
4.61,40,566.678,2yga
4.61,17,237.228,3lgs
4.61,13,189.1,2bo4
4.62,11,164.156,1ofz
4.62,19,267.254,2a5c
4.62,56,828.716,3f5k
4.62,29,425.396,1f4f
4.62,26,384.436,2f6t
4.62,16,234.212,2xm2
4.65,13,193.132,2w87
4.66,20,306.328,2ca8
4.66,20,290.4,2ha2
4.66,21,285.358,3mss
4.66,20,299.138,1bzj
4.66,9,121.162,1h4w
4.66,10,166.116,1m1b
4.66,19,267.302,3ddf
4.68,11,157.11,1xge
4.68,22,336.178,2nsl
4.68,21,283.27,3g35
4.68,9,121.162,1c5p
4.68,31,442.49,1wn6
4.68,13,222.268,2uy4
4.69,27,424.186,2rio
4.70,20,290.248,2cex
4.70,9,121.162,2j9n
4.70,12,177.138,2qfo
4.70,19,293.176,3k5i
4.70,9,131.174,3kiv
4.70,11,153.18,3nkk
4.70,38,564.632,2i2c
4.70,13,303.144,1c5n
4.70,18,269.236,1c86
4.70,10,148.072,2dw7
4.70,14,216.282,2fu8
4.71,37,522.63,3ny3
4.71,30,433.51,1v2t
4.71,21,295.286,2qrh
4.72,28,441.194,3cpj
4.72,28,441.194,3okp
4.72,47,673.798,3omg
4.72,9,173.94,2o1c
4.72,19,267.27,3b9g
4.72,9,131.174,3f6g
4.73,30,433.51,1v2o
4.74,35,582.126,2ov4
4.74,20,272.246,2uxu
4.74,31,503.156,3dnt
4.74,26,349.434,3f3u
4.74,27,399.464,3lcv
4.74,9,121.162,1ce5
4.74,20,306.168,1w4p
4.74,27,424.186,2e2p
4.75,33,474.584,3nim
4.75,16,237.21,3g2j
4.76,22,304.256,3o5n
4.77,51,757.688,3iqu
4.77,8,117.148,2b4l
4.77,16,239.728,3rm9
4.77,11,153.188,2afw
4.77,6,88.02,2dua
4.77,20,288.4,3d50
4.79,22,336.178,2nsj
4.79,26,357.362,3g2k
4.79,29,388.426,3eb1
4.79,9,121.162,1oss
4.80,32,462.398,3bpc
4.80,20,289.742,1bju
4.80,19,254.276,1ghz
4.80,20,328.802,2nta
4.80,13,190.27,3dnd
4.82,57,818.836,2xqq
4.82,48,700.464,1y3p
4.82,19,267.254,2gl0
4.82,44,677.522,2gzl
4.82,24,385.138,2hr6
4.82,17,273.804,3kmx
4.82,21,320.194,3lxo
4.82,29,453.054,1aid
4.82,24,385.138,1dud
4.82,20,290.3,1f8e
4.82,13,191.134,1v1j
4.82,10,146.124,1xff
4.82,13,190.218,2pwg
4.82,9,153.006,2ypi
4.83,28,441.194,3a1s
4.83,28,441.194,3a1t
4.85,23,311.42,3ru1
4.85,27,423.178,1vkj
4.85,21,322.168,2j4k
4.85,18,265.23,2w4x
4.85,10,146.234,3f70
4.85,21,308.264,3qnd
4.85,18,246.178,1c83
4.85,16,333.032,1ecv
4.85,33,460.552,1n51
4.85,52,741.806,1qji
4.85,21,327.326,1xgi
4.85,30,401.36,2r9x
4.85,12,174.218,2ww2
4.85,20,325.102,3ohi
4.86,18,261.24,3g2i
4.87,28,421.902,3iw8
4.88,26,422.298,3exh
4.88,10,147.2,3lp4
4.88,46,688.416,3pju
4.89,36,564.286,3juk
4.89,40,610.64,3m8u
4.89,32,427.506,3njq
4.89,55,786.038,2aoc
4.89,20,280.336,2vo5
4.90,22,302.23,3cf8
4.91,68,972.03,3rdv
4.91,44,663.436,3te5
4.91,17,299.16,3juq
4.92,9,172.958,2haw
4.92,29,427.272,1bzc
4.92,18,247.306,1e1v
4.92,18,247.306,1h1p
4.92,33,472.47,1jqy
4.92,48,650.704,3eax
4.93,59,869.812,3iqj
4.93,10,137.11,2y7k
4.94,56,803.954,2vpe
4.94,11,169.206,2vo4
4.94,13,181.188,4ts1
4.94,18,252.268,1e2k
4.95,42,635.384,1jn4
4.95,36,494.582,2x95
4.96,16,258.118,3bxg
4.96,20,306.168,1tsy
4.96,9,131.174,1cea
4.96,28,440.186,1dar
4.96,45,659.676,1elr
4.96,37,543.516,1uz8
4.96,28,383.442,1o5g
4.96,11,161.158,2vjx
4.96,14,205.236,2w67
4.96,44,629.614,3lbj
4.96,26,353.336,3n87
4.98,24,350.232,2w47
4.99,20,285.732,3hrf
5.00,64,917.002,3dvp
5.00,55,808.752,3k02
5.00,27,420.258,1byk
5.00,34,499.026,1ql7
5.00,18,265.366,1sbr
5.00,59,845.974,1sts
5.00,37,495.624,2oiq
5.00,10,169.032,2vxn
5.00,21,298.336,3cfn
5.00,55,787.974,3omc
5.00,64,906.088,3p9m
5.00,23,321.254,1hlk
5.00,19,267.254,1nc3
5.00,20,271.276,1o35
5.00,22,310.372,2oym
5.00,11,164.182,3gbe
5.00,19,257.196,1c84
5.01,25,356.77,3ads
5.01,55,808.752,1ppi
5.01,21,415.032,2glp
5.02,32,439.396,2d0k
5.02,32,519.182,2wji
5.02,31,503.156,2xbp
5.02,41,594.778,3bgc
5.03,39,546.536,1i1e
5.03,28,403.416,2qt5
5.04,33,486.462,1mfa
5.05,9,147.17,3s76
5.05,37,517.502,1qxk
5.05,28,384.452,3aau
5.05,18,252.236,1fkw
5.06,40,566.678,2yge
5.06,20,286.232,2v77
5.06,30,433.966,3f68
5.07,17,299.16,3juo
5.07,15,218.212,2xm1
5.07,18,234.26,2c3l
5.08,46,690.432,3qyy
5.08,31,484.28,3m94
5.08,13,177.166,1enu
5.08,20,296.358,2qtg
5.09,40,566.678,2ygf
5.09,26,384.43,1nw7
5.09,33,447.548,1m48
5.10,45,668.592,1ez9
5.10,14,186.2,1kmy
5.10,16,258.118,1m6p
5.10,26,349.288,1onz
5.10,14,228.092,2h5a
5.10,22,309.312,2qrq
5.10,18,263.246,1od8
5.10,18,266.27,1v0k
5.10,34,510.62,1w7g
5.10,29,387.334,2r9w
5.10,22,326.704,3p4v
5.11,22,304.33,3ozj
5.11,57,818.988,2h6q
5.11,18,264.358,1k4h
5.11,31,420.504,1yp9
5.11,13,190.134,3k4d
5.12,15,204.226,1qaw
5.12,74,1077.06,3nkx
5.12,10,147.2,1uv6
5.12,38,539.526,2web
5.13,10,146.124,3s9e
5.13,17,234.2,1gcz
5.14,10,169.032,3tao
5.14,28,463.126,2hqu
5.14,29,391.418,2br1
5.14,33,450.572,1y3x
5.15,24,361.216,1qk3
5.15,25,409.176,1jcx
5.15,13,175.192,1s38
5.15,33,493.464,1thz
5.15,12,158.2,2afx
5.15,24,340.288,3ozr
5.16,16,252.732,3b27
5.16,76,1090.34,3lqi
5.16,26,384.43,1jqd
5.17,23,342.296,2f5t
5.17,32,470.414,3tc5
5.17,22,324.824,2zfp
5.17,13,174.148,3b7j
5.18,51,757.688,3iqv
5.18,23,325.312,2qrg
5.19,13,179.146,1oxr
5.19,24,361.216,1rnt
5.19,43,623.634,1ogg
5.19,21,310.322,1ocq
5.19,11,176.22,2qdt
5.20,27,429.272,3qj0
5.21,27,399.464,1nw5
5.21,27,423.22,3b2t
5.21,53,757.07,3ilq
5.21,28,383.442,1o2r
5.21,31,432.5,3qiz
5.22,26,422.298,3lq2
5.22,27,424.186,1ucn
5.22,27,423.178,2gz2
5.22,23,342.296,2rfy
5.22,12,185.604,3ms9
5.22,16,258.118,3n1c
5.22,8,117.148,3ppp
5.22,33,452.44,3qxt
5.22,34,499.026,1j17
5.22,22,430.642,1gjd
5.22,28,383.442,1o5c
5.22,39,619.27,2wzm
5.22,24,336.12,1bq4
5.22,21,322.168,1w4o
5.22,25,345.294,2hxm
5.22,18,288.338,3iof
5.22,15,195.222,3dne
5.23,27,390.466,1b4z
5.23,22,313.396,3lc3
5.23,19,259.306,1ndw
5.24,20,292.384,1q8w
5.24,18,266.27,1fh7
5.24,9,153.006,1s89
5.24,33,439.51,2jfz
5.25,27,399.464,3r24
5.25,27,424.186,2bfr
5.26,19,319.098,3n9s
5.26,21,324.16,1w4q
5.27,37,515.686,1qca
5.27,26,381.486,2x7u
5.28,28,441.194,3bbf
5.28,26,373.5,1b46
5.28,42,556.588,3o5x
5.28,15,230.652,1f5l
5.30,35,551.342,1h6h
5.30,19,255.248,1srg
5.30,9,142.602,2q7q
5.30,27,424.186,2o1v
5.30,33,465.482,3ebb
5.30,36,557.308,3gpo
5.30,68,963.142,3p9l
5.30,35,472.5,1vyq
5.30,37,495.624,1xbb
5.30,19,268.236,1a69
5.30,27,423.178,1o0f
5.30,19,268.236,1pr1
5.30,21,310.322,2oyk
5.30,20,290.248,2vk6
5.30,25,360.456,3pgl
5.31,24,776.848,1hk4
5.31,33,486.462,1mfd
5.32,7,101.106,1y20
5.33,26,390.484,2c80
5.33,33,474.356,3ozs
5.34,31,503.156,3efs
5.34,24,327.384,3nee
5.34,15,243.244,3hkq
5.34,16,223.208,1hee
5.34,32,440.482,1zgi
5.34,36,654.528,3k4q
5.34,24,367.26,3qiy
5.35,24,361.216,2fxv
5.35,34,499.026,1ql9
5.35,47,699.636,3hkn
5.35,12,165.104,2gkl
5.35,17,230.278,3bc4
5.36,27,375.494,3mf5
5.36,20,266.324,1w6y
5.36,13,201.274,2nng
5.36,31,423.438,3ldq
5.36,47,658.842,3bv9
5.37,52,747.908,3lqj
5.37,45,615.802,1sgu
5.38,14,199.304,2qhd
5.38,16,212.246,3e85
5.38,17,235.244,1g3e
5.39,12,185.578,2h6b
5.39,32,519.182,2wic
5.39,26,405.384,3hkt
5.39,8,129.186,3m1k
5.39,28,382.484,1qbv
5.40,24,332.292,2f35
5.40,12,178.182,2jdm
5.40,20,306.168,1bp0
5.40,56,819.796,1m7i
5.40,16,218.268,3b4p
5.40,67,974.126,1pz5
5.40,8,117.148,1r9l
5.40,24,322.34,2c1p
5.40,8,117.148,3l6h
5.40,20,290.248,1f8b
5.40,33,473.682,1mmr
5.40,24,321.34,2qg2
5.40,18,279.684,2i80
5.41,26,360.37,2j47
5.42,23,308.318,1h9z
5.42,11,157.152,2vpo
5.42,19,256.282,1gja
5.44,18,262.338,3pty
5.44,24,414.042,1h0a
5.44,13,191.22,3lp7
5.44,49,682.81,2q6f
5.44,26,384.43,2wr8
5.44,17,239.234,1syi
5.45,26,355.392,2iko
5.45,10,147.2,3mi3
5.46,26,377.516,1b4h
5.46,20,300.224,1lv8
5.46,20,294.41,1q65
5.47,32,425.516,2xde
5.47,32,536.234,2hf8
5.47,55,773.884,2r0z
5.47,10,137.11,2y7p
5.47,25,354.36,3pd2
5.47,43,589.7,1xh5
5.47,39,540.54,1g7f
5.47,19,253.284,1gi1
5.47,19,253.284,1o2s
5.48,29,398.516,3iw6
5.48,10,168.04,3bxe
5.48,9,130.224,1g85
5.48,12,176.192,2cbv
5.48,27,424.186,2zkj
5.48,27,424.186,3d2r
5.49,27,424.186,3i73
5.49,16,233.696,3hmp
5.49,21,320.194,1tys
5.49,10,148.276,1pot
5.49,44,663.41,2qtr
5.49,38,547.666,3bvb
5.49,17,254.234,3ga5
5.49,43,602.582,1pyn
5.49,20,355.156,2h4k
5.49,34,473.612,2o0u
5.49,16,215.222,2uy5
5.50,21,315.686,3tza
5.51,28,380.5,3da9
5.51,20,270.23,3kgt
5.51,25,388.242,2wqp
5.52,20,306.328,1oe8
5.52,48,668.72,3eys
5.52,16,237.184,3hzm
5.52,17,248.196,1a8i
5.52,20,292.384,1ydr
5.52,18,266.27,2ydt
5.52,10,165.016,1kc7
5.52,19,255.322,1lox
5.52,16,226.18,2cht
5.52,14,271.05,3iog
5.54,20,336.08,3bxf
5.54,23,308.318,1ha2
5.54,12,175.22,2y7i
5.54,44,646.612,3jyr
5.54,28,405.568,2olb
5.54,26,347.392,1bjv
5.55,20,305.186,1njc
5.55,24,350.232,1y3n
5.55,17,235.244,1g3d
5.55,28,386.384,2iuz
5.55,26,381.376,2wyn
5.56,13,194.182,2jdn
5.57,20,306.168,1njd
5.57,16,242.302,2nmx
5.57,15,218.228,3bex
5.57,30,446.482,3coz
5.57,14,205.236,1jak
5.58,17,299.16,3jup
5.59,20,293.314,1f4x
5.59,70,982.08,1fo0
5.59,39,574.566,3gxy
5.59,13,181.138,1mfi
5.60,46,674.602,1o9d
5.60,46,652.756,3e6y
5.60,29,407.552,3qps
5.60,24,365.838,3bl1
5.60,10,136.122,1vfn
5.60,18,318.216,3qce
5.62,11,203,3lpl
5.62,31,423.438,3ldp
